,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
317705604,7.25,7.375,6.375,6.375,437.375,488.875,15898.0,150.625,130.125,0.0,2.0,29.0,0.0,4.28660933,9383.0,6.0,274.0,6.0,773.0,1.0,0.0,1.0,1.0,1.0,7.0,2.0,84440.0,157.0,1.0,133.81945050000002,4.0,2.0,0.0,5.343655741001408,66.0,1194.0
317814449,6.833333333333333,4.666666666666667,6.166666666666667,9.5,615.6666666666666,555.1666666666666,20122.666666666668,5.166666666666667,350.5,0.0,0.0,31.0,0.0,3.05491605,34225.0,11.0,714.0,11.0,1359.0,3.0,4.0,1.0,1.0,2.0,156.0,3.0,116095.0,66.0,3.0,36.883789,1.0,0.0,0.0,4.138950331791675,44.0,1923.0
318371533,4.166666666666667,7.0,14.166666666666666,16.0,330.1666666666667,411.0,13051.5,640.1666666666666,92.5,0.0,7.0,27.0,3.0,4.2074846599999995,3760.0,5.0,80.0,5.0,404.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,55105.0,847.0,1.0,190.16422400000002,7.0,7.0,3.0,2.4196661974663183,58.0,2984.0
318998921,10.2,4.0,10.0,7.0,494.8,557.4,26206.8,0.0,221.4,0.0,5.0,39.0,0.0,3.28923167,6407.0,7.0,302.0,7.0,777.0,0.0,1.0,0.0,4.0,1.0,11.0,4.0,80125.0,90.0,0.0,209.588314,3.0,5.0,0.0,3.3931228634626986,35.0,801.0
319302915,4.6875,4.6875,11.8125,10.25,399.6875,427.75,15455.625,1105.1875,139.5,1.0,24.0,59.0,32.0,10.41666363,44480.0,24.0,526.0,24.0,1727.0,3.0,2.0,1.0,3.0,4.0,58.0,6.0,191510.0,1177.0,3.0,422.48706880000003,3.0,10.0,15.0,9.101749447013875,146.0,3070.0
319439365,11.6,3.0,10.0,15.8,552.4,561.4,27227.2,86.0,190.8,1.0,7.0,49.0,0.0,3.1221846,18410.0,8.0,217.0,8.0,766.0,1.0,0.0,0.0,1.0,0.0,15.0,3.0,88750.0,93.0,1.0,213.229465,1.0,7.0,0.0,3.850794289161472,40.0,781.0
319492128,7.523809523809524,6.428571428571429,9.761904761904763,12.857142857142858,534.1428571428571,584.4285714285714,26213.714285714286,177.0,303.57142857142856,2.0,2.0,289.0,1.0,12.861934960000001,27740.0,17.0,1054.0,17.0,5330.0,1.0,0.0,3.0,12.0,4.0,62.0,14.0,423185.0,926.0,1.0,513.059197,16.0,2.0,1.0,15.162276291976676,153.0,4721.0
320081904,4.0,7.75,18.875,3.875,310.5,454.0,17824.0,570.25,91.875,1.0,74.0,51.0,32.0,4.33177459,2833.0,3.0,237.0,3.0,478.0,0.0,1.0,0.0,6.0,9.0,15.0,3.0,90930.0,824.0,0.0,541.5866568,2.0,65.0,8.0,3.04142368791474,60.0,1274.0
320225328,3.7,6.9,16.0,2.1,294.0,396.0,10811.1,108.0,30.6,1.0,49.0,30.0,41.0,5.549853279999999,3876.0,3.0,47.0,3.0,242.0,0.0,1.0,0.0,7.0,7.0,0.0,8.0,74205.0,396.0,0.0,224.198414,7.0,41.0,11.0,3.5843555198069574,73.0,1762.0
320824443,7.111111111111111,6.0,6.666666666666667,16.88888888888889,385.1111111111111,462.22222222222223,20994.222222222223,15.222222222222221,138.66666666666666,2.0,10.0,29.0,6.0,4.48733305,27541.0,16.0,307.0,16.0,998.0,2.0,0.0,1.0,7.0,0.0,56.0,1.0,103115.0,250.0,2.0,162.554517,2.0,8.0,6.0,5.685702795093505,54.0,2982.0
320854806,7.75,4.625,7.625,10.5,484.5,525.75,19741.0,59.0,205.0,0.0,3.0,61.0,0.0,5.15154147,22613.0,15.0,289.0,15.0,1326.0,1.0,0.0,1.0,2.0,4.0,42.0,9.0,123830.0,553.0,1.0,351.860346,2.0,3.0,0.0,5.640056304041826,68.0,1825.0
322505128,3.6666666666666665,9.0,12.0,5.166666666666667,342.3333333333333,448.6666666666667,12518.333333333334,281.3333333333333,140.0,0.0,6.0,18.0,3.0,2.82968616,8431.0,5.0,259.0,5.0,572.0,0.0,0.0,0.0,3.0,1.0,43.0,0.0,60730.0,202.0,0.0,202.77459600000003,4.0,5.0,0.0,2.767946913331993,55.0,599.0
322739402,5.9375,6.9375,7.1875,10.375,414.8125,468.875,17486.75,237.3125,151.5625,2.0,5.0,64.0,4.0,8.85413419,23127.0,21.0,456.0,21.0,2020.0,2.0,5.0,0.0,7.0,3.0,86.0,4.0,189975.0,786.0,2.0,432.8628337,10.0,6.0,2.0,10.596018499899458,128.0,2804.0
